Feature;Value
ApplicationName;GaitAnalysis
TestType;Cloud
DeviceURL;http://164.92.168.129:27592
ThreadIndex;1
DataUserNo;-1
DataStepLength;-1
CalibrationDataLength;300
TestDataLength;18000
TestDataRepeatCount;1
ThreadCreated;370816.638441
BluetoothConnected;370816.676496
ThreadStarted:370827.682493
SocketInitialized;370827.695304
DeviceConnected:370828.143983
FilenameTime:370828.243462
Filename:1_2023_09_19_07_27_15_VoD4Gk51M7gBfSI5AAAN.json
ProcessReady;370828.310278
FirstResponseReceived;370828.379332
