Feature;Value
ApplicationName;GaitAnalysis
TestType;Cloud
DeviceURL;http://164.92.168.129:27592
ThreadIndex;1
DataUserNo;-1
DataStepLength;-1
CalibrationDataLength;300
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;374917.376049
BluetoothConnected;374917.414691
ThreadStarted:374933.485612
SocketInitialized;374933.499257
DeviceConnected:374934.000220
FilenameTime:374934.089078
Filename:1_2023_09_19_08_35_41_udofOAZkwMVGtbFwAAAj.json
ProcessReady;374934.156745
FirstResponseReceived;374934.258937
