Feature;Value
ApplicationName;GaitAnalysis
TestType;Broker
DeviceURL;http://192.168.2.125:27592
ThreadIndex;0
DataUserNo;1
DataStepLength;20
CalibrationDataLength;224
TestDataLength;18000
TestDataRepeatCount;1
ThreadCreated;1693163881.545509
ThreadStarted;1693163881.545509
WorkerResourceThreadStarted;1693163881.546504
DeviceConnected;1693163881.582897
Filename;0_2023_08_27_22_18_03_B9vYVwIocgaBO4WZAAAF.json
ProcessReady;1693163881.698727
FirstDataSent;1693163881.787254
FirstResponseReceived;1693163881.795639
TheadStopped;1693164246.276474
