Feature;Value
ApplicationName;GaitAnalysis
TestType;System
DeviceURL;http://164.92.168.129:27592
ThreadIndex;1
DataUserNo;-1
DataStepLength;-1
CalibrationDataLength;300
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;1637679.301883
BluetoothConnected;1637679.329090
ThreadStarted:1637687.079296
AssignFogNode_Latitude;41.1073293
AssignFogNode_Longitude;28.7827509
AssignFogNodeRequested;1637687.081633
AssignWorkerDeviceRequested;1637687.315849
BrokerIPAssigned;1637687.314940
BrokerIP;192.168.2.125
BrokerType;LAN
BrokerDistance;0
SocketInitialized;1637687.345593
WorkerDeviceAssigned;1637687.338008
WorkerIP;192.168.2.151
CPU_Usage;1.2626262626262652
DeviceConnected:1637687.435508
FilenameTime:1637687.459365
Filename:1_2023_08_18_09_31_35_iKf68kKjASbPMANZAAA1.json
ProcessReady;1637687.477133
FirstResponseReceived;1637687.519739
