Feature;Value
ApplicationName;GaitAnalysis
TestType;Broker
DeviceURL;http://192.168.2.125:27592
ThreadIndex;1
DataUserNo;-1
DataStepLength;-1
CalibrationDataLength;300
TestDataLength;18000
TestDataRepeatCount;1
ThreadCreated;1677665.610937
BluetoothConnected;1677665.633569
ThreadStarted:1677677.449014
SocketInitialized;1677677.454210
DeviceConnected:1677677.542607
FilenameTime:1677677.718672
Filename:1_2023_08_18_21_47_30_QF41VIIEyW1ghFiLAAAN.json
ProcessReady;1677677.722397
FirstResponseReceived;1677677.748319
