Feature;Value
ApplicationName;GaitAnalysis
TestType;Broker
DeviceURL;http://192.168.2.125:27592
ThreadIndex;0
DataUserNo;1
DataStepLength;20
CalibrationDataLength;224
TestDataLength;18000
TestDataRepeatCount;1
ThreadCreated;1693164259.97653
ThreadStarted;1693164259.97653
WorkerResourceThreadStarted;1693164259.977528
DeviceConnected;1693164260.016711
Filename;0_2023_08_27_22_24_22_6V0vhOnjNa1bPYb0AAAH.json
ProcessReady;1693164260.024235
FirstDataSent;1693164260.221265
FirstResponseReceived;1693164260.238102
TheadStopped;1693164624.702134
