Feature;Value
ApplicationName;GaitAnalysis
TestType;Cloud
DeviceURL;http://164.92.168.129:27592
ThreadIndex;1
DataUserNo;-1
DataStepLength;-1
CalibrationDataLength;300
TestDataLength;18000
TestDataRepeatCount;1
ThreadCreated;369775.209214
BluetoothConnected;369775.248469
ThreadStarted:369787.423355
SocketInitialized;369787.435820
DeviceConnected:369787.934872
FilenameTime:369788.033162
Filename:1_2023_09_19_07_09_55_pUMXrnvcojHE0cAcAAAJ.json
ProcessReady;369788.114400
FirstResponseReceived;369788.216192
