Feature;Value
ApplicationName;GaitAnalysis
TestType;System
DeviceURL;http://164.92.168.129:27592
ThreadIndex;1
DataUserNo;-1
DataStepLength;-1
CalibrationDataLength;300
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;1637490.879684
BluetoothConnected;1637490.908613
ThreadStarted:1637493.947531
AssignFogNode_Latitude;41.1073293
AssignFogNode_Longitude;28.7827509
AssignFogNodeRequested;1637493.950103
AssignWorkerDeviceRequested;1637494.189451
BrokerIPAssigned;1637494.188488
BrokerIP;192.168.2.125
BrokerType;LAN
BrokerDistance;0
SocketInitialized;1637494.220424
WorkerDeviceAssigned;1637494.213941
WorkerIP;192.168.2.151
CPU_Usage;1.5037593984962405
DeviceConnected:1637494.304123
FilenameTime:1637494.325634
Filename:1_2023_08_18_09_28_22_bZ2dBqpMvr8xSdBOAAAt.json
ProcessReady;1637494.342729
FirstResponseReceived;1637494.387881
