Feature;Value
ApplicationName;GaitAnalysis
TestType;Cloud
DeviceURL;http://164.92.168.129:27592
ThreadIndex;0
DataUserNo;1
DataStepLength;20
CalibrationDataLength;224
TestDataLength;18000
TestDataRepeatCount;1
ThreadCreated;1695639107.494346
ThreadStarted;1695639107.494817
WorkerResourceThreadStarted;1695639107.49582
DeviceConnected;1695639107.990711
Filename;0_2023_09_25_10_51_48_kFPspSSp51gqjfKjAAB3.json
ProcessReady;1695639108.074794
FirstDataSent;1695639108.192531
FirstResponseReceived;1695639108.278675
TheadStopped;1695639472.675262
