Feature;Value
ApplicationName;GaitAnalysis
TestType;Broker
DeviceURL;http://192.168.2.125:27592
ThreadIndex;1
DataUserNo;-1
DataStepLength;-1
CalibrationDataLength;300
TestDataLength;18000
TestDataRepeatCount;1
ThreadCreated;1673733.255236
BluetoothConnected;1673733.277968
ThreadStarted:1673746.423220
SocketInitialized;1673746.428489
DeviceConnected:1673746.515191
FilenameTime:1673746.554236
Filename:1_2023_08_18_20_41_59_EXKa-sAsY4eVZp-GAAAF.json
ProcessReady;1673746.560395
FirstResponseReceived;1673746.615704
