Feature;Value
ApplicationName;GaitAnalysis
TestType;Worker
DeviceURL;http://192.168.2.151:27592
ThreadIndex;1
DataUserNo;-1
DataStepLength;-1
CalibrationDataLength;300
TestDataLength;18000
TestDataRepeatCount;1
ThreadCreated;1687060.245647
BluetoothConnected;1687060.272601
ThreadStarted:1687068.014413
SocketInitialized;1687068.019380
DeviceConnected:1687068.112117
FilenameTime:1687068.129103
Filename:1_2023_08_19_00_24_01_qCBzNLGzBENk0KjyAABR.json
ProcessReady;1687068.147087
FirstResponseReceived;1687068.189707
