Feature;Value
ApplicationName;GaitAnalysis
TestType;Cloud
DeviceURL;http://164.92.168.129:27592
ThreadIndex;1
DataUserNo;-1
DataStepLength;-1
CalibrationDataLength;300
TestDataLength;18000
TestDataRepeatCount;1
ThreadCreated;1664609.140209
BluetoothConnected;1664609.164823
ThreadStarted:1664613.902701
SocketInitialized;1664613.908625
DeviceConnected:1664614.512334
FilenameTime:1664614.610161
Filename:1_2023_08_18_14_39_50_X_flMYgPFbldDXw4AAAr.json
ProcessReady;1664614.711135
FirstResponseReceived;1664614.790828
