Feature;Value
ApplicationName;GaitAnalysis
TestType;Broker
DeviceURL;http://192.168.2.125:27592
ThreadIndex;1
DataUserNo;-1
DataStepLength;-1
CalibrationDataLength;300
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;1683486.516906
BluetoothConnected;1683486.538980
ThreadStarted:1683493.102591
SocketInitialized;1683493.107344
DeviceConnected:1683493.198449
FilenameTime:1683493.220299
Filename:1_2023_08_18_23_24_27_wZ-duhH2vqZfi5f4AAA6.json
ProcessReady;1683493.226517
FirstResponseReceived;1683493.288066
